"ID","@Fotos","Tipografía","Año","Créditos","Descripción","Distribución","Clasificación","Familia(s)","Formato","Estilos","Lenguajes","Glifos","Set","Estudio","Fundidora","Enlace"
"70","Identa.jpg","Identa","2022","Raúl Plancarte","Sus formas limpias y su altura x la convierten en una cara muy competente tanto para identificadores cortos como para cuerpos de texto largos, ideal para su uso en pantalla, donde la legibilidad y la personalidad deben ajustarse a las nuevas necesidades de diseño de una empresa.Está disponible en ocho estilos, que van desde su versión en Blanco hasta la más oscura Vantablack, cada uno de ellos ajustado de forma óptima con sus respectivas variables cursivas, y un Dingbats fuente diseñado para resolver casos cotidianos.Cada fuente contiene 737 glifos, macro y microdetalles estéticos inspirados en los actuales sistemas y tendencias de comunicación visual. El dingbats fuente incluye 303 signos y es un conjunto de iconos y símbolos que pueden utilizarse en múltiples entornos, tanto para medios impresos como digitales.","público con costo","Texto","Identa Font Family","ttf, otf, wof, ttf (variable)","19","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Básico",,"Sudtipos","https://www.myfonts.com/es/collections/identa-font-sudtipos"
"72","Kukulkan.png","Kukulkan","2008","Raúl Plancarte","Kukulkán, diseñada por Raúl Plancarte, es una tipografía que articula un equilibrio entre tradición formal e innovación contemporánea. Su estructura, derivada de una reinterpretación de las letras romanas y estilos fantásticos, se distingue por su plasticidad expresiva y trazo sólido, cualidades que refuerzan su funcionalidad en textos continuos. La familia tipográfica, disponible como fuente variable con 42 estilos, incluye también una colección ornamental de 150 dingbats basada en la iconografía jeroglífica maya, lo que acentúa su valor cultural e histórico. La propuesta formal de Kukulkán incorpora referencias estilizadas a la estética prehispánica, especialmente en sus versiones más oscuras, sin limitarse a un contexto local, sino integrándose con fluidez a una diversidad de lenguajes visuales globales. Su aplicación en diseño editorial y cultural evidencia su versatilidad, permitiendo tanto titulares de alto impacto como el desarrollo de identidades visuales distintivas, consolidándose como una herramienta tipográfica de alcance amplio y sensibilidad estética refinada.","público con costo","Títulos","Kukulkan Serif, Kukulcan Sans","ttf(v), otf, wof(v)","42","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Extendido",,"Sudtipos","https://www.myfonts.com/es/collections/kukulkan-font-sudtipos"
"73","Barricada.png","Barricada","2008","Elí Castellanos","Barricada Pro, diseñado por Eli Castellanos, es un tipo de letra de voz alta con pequeños contadores que aporta un peso fuerte interesante. Además, tiene una estructura sólida que aporta fuerza. Sus gracias curvas y swashes dan un toque de suavidad y hacen que las letras sean un poco juguetonas.Quince años de hermosos usos en diseños de todo el mundo han llevado a Barricada Pro a ampliarse y perfeccionarse, haciéndola aún mejor. La fuente incluye ahora siete pesos estáticos y un archivo variable, lo que aumenta su versatilidad. Su diseño la hace perfecta para marcas y envases, proporcionando un texto llamativo y legible. Es la opción adecuada para configurar un texto fresco y sólido.","público con costo","Títulos","Barricada Font Family.Bold, ExtraBold, Heavy, Light, Regular, SemiBold, SemiLight, Variable","ttf, otf, wof, (variable)","7","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Shona, Somali, Albanian, Swati, Saho, Southern Sotho, Sundanese, Swedish, Swahili, Silesian, Teso, Turkmen, Tswana, Turkish, Taroko, Tsonga, Volap√ºk, Vunjo, Walloon, Walser, Warlpiri, Wolof, Xhosa, Soga, Zulu","Entre 256 y 1000","Extendido",,"Sudtipos","https://www.sudtipos.com/font/barricada-pro"
"74","Zipolite.png","Zipolite","2014","Elí Castellanos","Zipolite, al igual que la tranquila playa de Zipolite, es una familia de fuentes sans-serif que combina maravillosamente fuerza con paz. La neutralidad de la fuente y los matices corporativos se equilibran con un aura relajada, creando una combinación armoniosa que resuena tanto con profesionalismo como con facilidad.Esto lo convierte en una opción ideal para logotipos, tarjetas de presentación y documentos oficiales. Sus matices pacíficos, por otro lado, son perfectos para ambientes más relajados, como blogs de bienestar y estilo de vida, promoviendo una sensación de calma y serenidad.","público con costo","Texto","Zipolite Regular, Zipolite Rounded","ttf, woff,  woff2","15","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Básico",,"CocijoType","https://cocijotype.com/typefaces/zipolite"
"75","Barrilito.jpg","Barrilito","2009","Elí Castellanos","Basado en letras grabadas en madera, Barrilito es un diseño de apariencia uniforme, recomendado para títulos y para generar una textura visual. Barrilito tiene una gran cantidad de ligaduras que permiten tener una amplia gama de opciones para establecer el texto del título de un bloque.","público con costo","Títulos","Barrilito Fon Famuliy","ttf, woff,  woff2","1","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Shona, Somali, Albanian, Swati, Saho, Southern Sotho, Sundanese, Swedish, Swahili, Silesian, Teso, Turkmen, Tswana, Turkish, Taroko, Tsonga, Volap√ºk, Vunjo, Walloon, Walser, Warlpiri, Wolof, Xhosa, Soga, Zulu","Entre 256 y 1000","Básico",,"CocijoType","https://cocijotype.com/typefaces/barrilito"
"76","calavera.png","Calavera","2012","Oscar Yáñez","Calavera es una serie de exposiciones que se inspira en los grabados mexicanos del siglo XIX y en la rica cultura del papel picado de México. Este arte tradicional, que consiste en recortar papel, se encuentra arraigado en las tradiciones populares de numerosos países, además de en toda la extensión de México. En particular, en México, el papel picado es ampliamente utilizado en la celebración del Día de los Muertos.","público con costo","Títulos","Calavera Font Family","ttf, woff,  woff2","8","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Shona, Somali, Albanian, Swati, Saho, Southern Sotho, Sundanese, Swedish, Swahili, Silesian, Teso, Turkmen, Tswana, Turkish, Taroko, Tsonga, Volap√ºk, Vunjo, Walloon, Walser, Warlpiri, Wolof, Xhosa, Soga, Zulu","Entre 256 y 1000","Extendido",,"CocijoType","https://cocijotype.com/typefaces/calavera"
"79","gabriela.png","Gabriela","2019","Antonio Mejía Lechuga","El proyecto Gabriela es de gran importancia para nosotros ya que es el primer fuente publicado por Latinotype México que es nuestra flamante fundición hermana en México. Gabriela, aún más versátil, comparte todo su ADN con Gabriela Stencil. La fuente es una excelente opción para textos cortos y medianos. Gabriela es un tipo de letra Didone muy adecuado para diseños editoriales y de marca con clase. Su versión alternativa incluye guiones y más de 300 glifos y 75 ligaduras, lo que permite diseños más estilizados. Puede parecer diferente de su homóloga ""normal"", pero la esencia de ambas es la misma. Gabriela se presenta en 9 estilos, que van del fino al negro, e incluye cursivas verdaderas a juego. Cada peso de fuente tiene una media de 750 caracteres que admiten más de 200 lenguas de base latina.","público con costo","Texto","Gabriela Family, Gabriela Alt Family, Gabriela Stencil Family","otf","44","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Western Frisian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Dutch, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Navajo, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Romanian, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Sha","Entre 256 y 1000","Extendido",,"Antonio Lechuga","https://fonts.antoniolechuga.com/producto/gabrielastlcn-family-desktop/"
"80","rosales.png","Rosales","2022","Fernando Pérez","Rosales conjuga la influencia de los estilos humanistas y geométricos en una sola tipografía sans serif con gran inspiración caligráfica.Posee ocho pesos tanto en su variante redonda como itálica, un juego de mayúsculas capitulares, versalitas, números elzevirianos y tabulares así como dos variantes estilísticas que permiten transitar entre un estilo humanista o uno geométrico. Una tipografía que cubre todas las necesidades que puedas tener.Los pesos más extremos de la familia han sido diseñados para ser usados en titulares de alto puntaje y logotipos mientras que los pesos intermedios han sido altamente optimizados para el uso de cuerpos de texto y lectura inmersiva.","público con costo","Texto","Rosales Sans","otf","16","Adara, Afar, Alekano, Ao Naga, Arabic, Chadian Spoken, Asu, Awak, Banda, West Central, Bangwinji, Batak Toba, Bedawiyet, Bemba, Bena, Bench, Benga, Bikol, Bislama, Bokobaru, C’Lela, Cahungwarya, Cebuano, Chiduruma, Chiga, Chokwe, Comorian, Latin, Cornish, Dawro, Dikaka, English, Fijian, Fuliiru, Gamo, Gofa, Gusii, Gyele, Hiligaynon, Hmong, Indonesian, Interlingua, Jamaican Creole English, Kalenjin, Kimbundu, Kinyarwanda, Kiribati, Kirundi, Kombe, Kongo, Kutu, Kwanyama, Kwere, Latin, Lele, Luba-Kasai, Luguru, Luo, Luyia, Machame, Makhuwa-Meetto, Makonde, Malay, Minangkabau, Morisyen, Nara, Ndamba, Ndebele (Northern), Ndebele (Southern), Ndonga, Ngindo, Ngulu, Novial, Nupe-Nupe-Tako, Nyankole, Oromo, Pampanga, Pogolo, Pohnpeian, Pökoot, Rendille, Rinconada Bikol, Rombo, Rwa, Samburu, Sangu, Seychelles Creole, Shambala, Shona, Soga, Somali (Latin), Suba, Swahili, Swahili, Congo, Swati, Taita, Takwane, Talinga-Bwisi, Tedim Chin, Tok Pisin, Tsonga, Tula, Tumbuka, Vidunda, Vunjo, Warlpiri, West Albay Bikol, Wolaytta, Xhosa, Yasa, Zande, Zayse, Zigula, Zulu","Entre 256 y 1000","Extendido","Reatatype",,"https://www.myfonts.com/es/collections/rosales-font-latinotype-mexico"
"81","octothorpe.jpg","Octothorpe","2020","Ivan Moreno","Basado en la fuente Stripes de Tony Wenman (lanzada por Letraset en 1972), Octothorpe es una herramienta tipográfica inteligente que le permite diseñar piezas de letras digitales impactantes y provocativas. El trazo de ocho líneas de Octothorpe sumerge al lector en un camino hipnótico y abigarrado, hecho de infinitas posibilidades, del que es difícil regresar. Si no eres un artista visual, ni un diseñador, o simplemente no eres un entusiasta de las fuentes, ¡será mejor que ignores esta fuente!Está disponible una versión de prueba en <a href=""https://pampatype.com/es/trials"">PampaType</a>, o bien puede adquirirse bajo un modelo de renta individual en <a href=""https://fontstand.comoctothorpe"">Fontstand</a> para su uso en escritorio y web. Además, la fuente está disponible para compra directa en <a href=""https://store.typenetwork.com/foundry/pampatype/series/octothorpe"">Type Network</a> para su uso en escritorio, web y aplicaciones. También se ofrece bajo el modelo de suscripción de <a href=""https://fonts.adobe.comoctothorpe-pe#details-section+octothorpe-pe-regular-55427"">Adobe Fonts</a>, tanto para aplicaciones de escritorio como para su uso como webfont.","público con costo, gratuito","Experimental","Octothorpe PE","otf","2","Bielorruso, Catalán, Checo, Danés, Alemán, Griego, Inglés, Español, Finés, Filipino, Francés, Croata, Hungaro, Malayo, Indonesio, Italiano, Latvian, Macedonio, Maltés, Neerlandés, Noruego, Polaco, Portugués, Sueco, Rumano, Ruso, Eslovaco, Esloveno, Serbio, Turco, Ucraniano","Mayor que 1000","Extendido",,"Pampatype","https://pampatype.com/octothorpe/es/"
"92","Unna.png","Unna","2003","Jorge de Buen","Unna tiene un aspecto suave que se expresa a través de delicadas serifas y fuertes tallos, acentuando así la típica textura vertical neoclásica. El diseñador tipográfico, Jorge de Buen, se inspiró para nombrar este diseño con el apellido de su madre.","abierto, gratuito","Texto","Unna Family","ttf","4","Achuar-Shiwiar, Aguaruna, Aleut, Amahuaca, Amarakaeri, Arabela, Arapaho, Asháninka, Ashéninka Perené, Ashéninka, Pichis, Awa-Cuaiquer, Aymara, Candoshi-Shapra, Caquinte, Cashibo-Cacataibo, Cashinahua, Chachi, Chayahuita, Chickasaw, Chimborazo Highland Quichua, Chinantec, Chiltepec, Chinantec, Ojitlán, Cofán, Latin, Colorado, Crioulo, Upper Guinea, Danish, Dutch, English, Ese Ejja, Filipino, French, Garifuna, German, Guadeloupean Creole French, Latin, Martinique, Guarayu, Guianese Creole French, Haitian Creole, Hindustani, Sarnami, Hopi, Huastec, San Luís Potosí, Huitoto, Murui, Innu, Italian, Jamaican Creole English, Kalaallisut, Kaqchikel, Central, Kituba, Kulango, Bouna, Kʼicheʼ, Mam, Mapuche, Matsés, Latin, Peru, Mazatec, Ixcatlán, Mískito, Mixe, Totontepec, Mixtec, Metlatónoc, Mohawk, Muscogee, Nahuatl, Central, Nomatsiguenga, Otomi, Mezquital, Páez, Papiamento, Pipil, Portuguese, Purepecha, Q'eqchi', Quechua, Quechua, Ambo-Pasco, Quechua, Arequipa-La Unión, Quechua, Ayacucho, Quechua, Cajamarca, Quechua, Cusco, Quechua, Huamalíes-Dos de Mayo Huánuco, Quechua, Huaylas Ancash, Quechua, Margos-Yarowilca-Lauricocha, Quechua, North Junín, Quechua, Northern Conchucos Ancash, Quechua, South Bolivian, Quechua, Unified Quichua, old Hispanic orthography, Saint Lucian Creole French, Latin, Secoya, Seri, Sharanahua, Shipibo-Conibo, Shuar, Latin, Ecuador, Siona, Spanish, Sranan Tongo, Tenango Otomi, Latin, Tojolabal, Totonac, Papantla, Tzeltal, Oxchuc, Tzotzil, Chamula, Urarina, Waorani, Wayuu, Welsh, Yagua, Yanomamö, Yucateco, Záparo, Zapotec, Zapotec, Güilá, Zapotec, Miahuatlán","Entre 256 y 1000","Básico",,"Omnibus-Type","https://fonts.google.com/specimen/Unna"
"97","Ecstasy.png","Ecstasy","2012","Jesús Barrientos","Este tipo caligráfico se basa en una letra negra de estilo libre con un espíritu manchado de tinta. Al tener varias alternativas estilísticas (en ambas U&lc.) más algunas ligaduras no estándar, ¡su texto puede parecer escrito o hecho a mano! ","público con costo","Títulos","Ecstasy","otf","1","Afar, Afrikaans, Aragonese, Asu, Bemba, Bena, Bosnian, Catalan, Cebuano, Chiga, Corsican, Czech, Welsh, Danish, Taita, German, Lower Sorbian, Jola-Fonyi, Embu, English, Esperanto, Spanish, Estonian, Basque, Finnish, Filipino, Faroese, French, Friulian, Irish, Scottish Gaelic, Galician, Swiss German, Gusii, Manx, Croatian, Upper Sorbian, Hungarian, Interlingua, Indonesian, Ido, Icelandic, Italian, Lojban, Machame, Jju, Kamba, Makonde, Kabuverdianu, Kikuyu, Kalaallisut, Kalenjin, Shambala, Colognian, Kurdish, Cornish, Latin, Luxembourgish, Ganda, Ligurian, Lithuanian, Luo, Luyia, Latvian, Meru, Morisyen, Malagasy, Makhuwa-Meetto, Maori, Malay, Maltese, Norwegian Bokmål, North Ndebele, Low German, Norwegian Nynorsk, Norwegian, South Ndebele, Northern Sotho, Nyanja, Nyankole, Occitan, Oromo, Polish, Portuguese, Romansh, Rundi, Rombo, Kinyarwanda, Rwa, Samburu, Sangu, Sardinian, Northern Sami, Sena, Sango, Sidamo, Slovak, Slovenian, Southern Sami, Lule Sami, Inari Sami, Shona, Somali, Albanian, Swati, Saho, Southern Sotho, Sundanese, Swedish, Swahili, Silesian, Teso, Turkmen, Tswana, Turkish, Taroko, Tsonga, Vunjo, Walloon, Walser, Warlpiri, Wolof, Xhosa, Soga, Zulu","Entre 256 y 1000","Básico","Talavera","Talavera","https://www.myfonts.com/es/collections/ecstasy-font-talavera"
"101","Duplicatesns.png","Duplicate","2013","Christian Schwartz, Miguel Reyes","En 2007, Christian Schwartz dio inicio a su colaboración con Duplicate, concebido como un experimento destinado a desafiar los límites de su creatividad. Motivado por entrevistas con músicos que destacaban la importancia de tocar música de memoria y la experiencia de tropezar con su sonido característico al cometer errores, Schwartz se preguntó qué sucedería si aplicara un proceso similar al icónico Antique Olive de Roger Excoffon, una tipografía que lo había cautivado durante años. Esta iniciativa dio lugar a una nueva familia tipográfica sans serif con una identidad propia, la cual se expandió posteriormente en cinco familias relacionadas en colaboración con Miguel Reyes: Sans, Slab, Ionic, Soft y Round.","público con costo","Texto","Duplicate Ionic, Duplicate Round, Duplicate Sans Condensed, Duplicate Soft","otf","72","Afrikaans, Albanian, Asturian, Basque, Belarusian, Bosnian, Breton, Bulgarian, Catalan, Cebuano, Cornish, Corsican, Croatian, Czech, Danish, English, Esperanto, Estonian, Faroese, Faroese, Filipino, Finnish, Flemish, French, Frisian, Friulian, Gaelic, Galician, German, Greenlandic, Guarani, Haitian, Hawaiian, Hiligaynon, Hungarian, Icelandic, Igbo, Indonesian, Irish, Italian, Kurdish (Latin), Latin, Latvian, Lithuanian, Livonian, Luxembourgish, Malagasy, Malay, Maltese, Maori, Moldavian, Nederlands, Norwegian, Occitan, Polish, Portuguese, Provencal, Romanian, Romansch, Russian, Saami, Samoan, Scots, Scottish, Serbian, Slovak, Slovenian, Spanish, Swahili, Swedish, Tagalog, Turkish, Ukrainian, Walloon, Welsh, Wolof","menor que 256","Extendido",,"Commercial Type","https://commercialtype.com/catalog/duplicate"
"121","limaPE.png","Lima PE","2016","Elí Castellanos","Una fuente serif con un toque cálido e informal. Diseñado para uso en pantalla, sus elementos divertidos pero simples, su amplia apertura y su bajo contraste facilitan la lectura incluso en tamaños pequeños. Admite 151 idiomas e incluye no solo el alfabeto latino, sino también letras cirílicas y griegas.Antes llamada Hola (2016)","público con costo","Textos","Lima PE","otf","5","Afrikaans, Albanian, Asturian, Basque, Bosnian, Breton, Catalan, Cebuano, Cornish, Corsican, Croatian, Czech, Danish, English, Esperanto, Estonian, Faroese, Faroese, Filipino, Finnish, Flemish, French, Frisian, Friulian, Gaelic, Galician, German, Greenlandic, Guarani, Haitian, Hawaiian, Hiligaynon, Hungarian, Icelandic, Igbo, Indonesian, Irish, Italian, Kurdish (Latin), Latin, Latvian, Lithuanian, Livonian, Luxembourgish, Malagasy, Malay, Maltese, Maori, Moldavian, Nederlands, Norwegian, Occitan, Polish, Portuguese, Provencal, Romanian, Romansch, Saami, Samoan, Scots, Scottish, Slovak, Slovenian, Spanish, Swahili, Swedish, Tagalog, Turkish, Walloon, Welsh, Wolof","Entre 256 y 1000","Básico",,"Morisawa Inc.","https://www.morisawa.co.jpspecimen/7803"
